Observations / Discrimination Variables,IÕm usually the first to try new fashions (1: Strongly Disagree),IÕm more fashionable than most other women (1: Strongly Disagree),Other people think IÕm very fashionable (1: Strongly Disagree),Other people ask for my advice about fashion (1: Strongly Disagree),I like reading fashion magazines (1: Strongly Disagree),Usually I do not pay much attention to the clothes IÕm wearing(1: Strongly Disagree),IÕm not very bold when it comes to fashion (1: Strongly Disagree),I attach great importance to buying the most appropriate bra (1: Strongly Disagree),I like to shop for lingerie at exclusive shops (1: Strongly Disagree),I like to shop in the same lingerie stores as my friends (1: Strongly Disagree),Other people as source of information for purchase decision (1: Very uniportant),Magazine or newspaper  as source of information for purchase decision (1: Very uniportant),Catalogues as source of information for purchase decision (1: Very uniportant),Internet as source of information for purchase decision (1: Very uniportant),What is your age? 1: 18-24; 2: 25-39; 3: 40-54; 4: Over 55,"In an average month, how much money do you spend on clothes? 1: 0-$50; 2: $51-$151; 3: $151-$300; 4: $301-$500; 5: more than $501","What was your household annual income in the last year? 1: < 30k; 2: 30-60k, 3: 60-80k; 4: 80-100k; 5: Over 100k",What is your education level? 1: Secondary school; 2: Diploma; 3: Degree; 4: Masters; 5: Doctorate,I am Excitable (1) -- Calm (7),I am Thrifty (1) -- Indulgent (7),I am Contemporary (1) -- Not Contemporary (7),I am Rational (1) -- Emotional (7),I am Youthful (1) -- Mature (7),I am Orthodox (1) -- Libeeral (7),I am Modest (1) -- Vain (7)
49,2,3,4,3,3,4,5,3,4,4,4,5,5,4,2,3,2,2,3,4,3,2,3,6,4
50,4,2,3,3,1,5,5,4,4,4,2,2,2,2,1,2,3,3,4,4,4,4,4,4,4
51,3,5,5,3,6,3,3,6,2,2,6,5,5,1,3,1,4,2,6,4,1,4,5,5,4
52,4,5,5,5,5,1,2,5,3,3,5,5,6,2,2,4,4,2,5,4,3,5,4,4,4
53,4,4,4,5,6,2,3,4,4,4,4,4,5,1,2,1,2,3,3,2,4,4,4,7,1
54,2,5,3,2,2,4,5,5,2,2,7,5,6,4,1,1,5,2,4,5,3,5,4,6,2
55,1,4,4,4,4,2,7,2,1,1,2,4,4,1,2,2,2,1,6,4,4,5,3,4,2
56,2,3,4,3,3,2,5,5,2,2,4,5,6,2,3,3,5,1,5,3,3,2,4,3,3
57,2,2,3,2,2,3,6,6,1,1,2,2,2,2,4,1,1,1,3,4,6,6,6,6,3
58,4,4,4,4,2,1,4,7,1,1,1,1,5,1,3,1,2,1,4,4,4,2,4,4,2
59,5,4,7,1,5,1,1,6,1,1,1,1,1,1,4,4,1,1,5,6,1,1,6,6,5
60,2,3,4,4,5,4,5,4,2,4,4,5,5,2,2,2,5,3,5,3,3,4,2,6,4
61,3,5,5,3,3,3,5,5,5,5,6,6,5,2,2,2,4,2,2,3,3,2,2,7,5
62,3,4,4,3,1,1,4,4,1,1,4,4,6,1,3,3,4,2,4,6,3,1,4,4,4
63,2,2,3,2,5,5,6,5,2,2,6,5,6,5,2,1,1,3,6,4,2,3,6,7,2
64,4,5,5,6,7,2,5,6,4,2,6,5,7,4,2,2,2,1,2,4,2,4,2,4,2
65,3,4,3,4,4,4,4,4,4,3,3,3,3,3,3,1,3,2,4,4,4,4,4,4,4
66,1,1,1,1,1,5,6,4,1,1,1,1,1,1,4,1,3,2,5,4,4,4,7,5,1
67,5,4,6,4,4,1,2,5,5,5,3,3,7,4,2,3,4,2,7,5,4,1,1,2,1
68,4,2,4,4,4,2,3,4,3,3,5,5,4,4,1,4,4,2,4,5,6,2,5,5,3
69,3,4,3,2,2,3,5,4,2,1,2,3,5,1,2,3,3,2,2,5,5,5,4,5,5
70,3,4,5,7,6,1,3,5,3,5,5,6,7,1,1,2,1,1,4,5,4,6,1,7,3
71,2,3,3,2,3,3,4,4,3,3,6,6,6,4,2,2,3,1,6,6,4,4,5,5,4
72,4,3,6,5,6,2,4,4,5,2,1,1,1,1,2,2,2,2,3,3,4,3,1,4,5
73,5,5,6,5,5,3,2,5,2,1,3,6,6,2,1,3,2,2,2,4,3,3,4,4,2
74,1,3,4,2,1,2,4,7,4,5,5,3,5,3,3,2,4,1,3,4,3,6,3,5,3
75,5,3,1,3,3,5,3,7,1,1,6,5,5,1,2,2,3,2,3,3,2,2,5,4,3
76,4,4,4,5,7,3,4,6,1,1,1,5,6,1,4,2,2,1,5,1,2,2,7,6,4
77,1,1,2,2,1,5,5,6,1,1,6,5,5,3,1,1,2,2,4,2,4,4,2,6,2
78,2,2,2,2,4,3,1,7,7,1,2,2,5,2,3,1,4,2,2,3,4,2,6,6,4
79,3,3,3,4,4,2,4,6,5,4,4,5,6,4,2,2,3,2,5,2,4,1,4,5,2
80,2,4,4,3,4,1,4,7,1,1,2,5,5,1,4,1,1,2,5,1,4,7,7,5,1
81,1,1,1,1,2,3,1,5,1,1,2,5,5,5,2,1,5,1,3,3,5,2,5,6,2
82,4,3,3,5,3,2,5,6,1,1,1,1,6,1,3,1,1,2,5,1,4,1,7,5,4
83,2,3,3,5,7,5,6,4,1,4,7,6,6,1,1,1,1,1,2,1,3,3,1,4,3
84,4,4,5,4,7,5,6,6,2,2,4,4,6,4,2,1,1,2,7,1,4,1,7,5,1
85,3,3,4,2,5,2,2,6,1,4,4,4,4,4,3,2,1,3,2,2,2,2,2,5,4
86,2,2,2,2,2,5,2,7,1,1,1,1,1,1,3,1,3,3,5,3,4,1,4,4,3
87,2,3,4,5,4,2,4,7,1,1,6,5,4,1,1,2,1,2,2,4,3,2,6,4,5
88,2,4,4,4,5,2,4,6,2,2,6,7,7,2,2,2,4,2,4,5,3,4,4,6,4
89,1,3,5,5,7,3,3,6,6,6,6,6,7,2,1,3,1,3,3,5,2,5,5,5,5
90,1,2,2,1,4,3,5,6,6,1,2,6,6,1,4,3,4,1,2,6,2,1,4,4,2
91,3,3,4,2,7,1,7,7,2,3,2,5,5,1,4,1,1,1,2,4,2,6,6,4,2
92,4,5,4,3,5,1,5,7,2,2,5,6,5,1,3,2,5,2,5,5,3,5,6,3,3
93,3,5,5,5,7,2,1,5,2,4,6,5,5,5,1,3,2,2,4,5,2,6,4,5,4
94,1,2,1,1,2,6,6,7,4,4,5,5,5,6,2,2,2,1,5,4,3,3,4,6,3
95,2,2,2,2,2,3,3,6,2,2,2,2,2,2,4,1,1,3,7,7,1,1,7,7,1
96,3,3,3,3,6,2,6,7,3,3,4,5,5,1,3,2,3,1,5,5,4,6,6,5,4
97,1,4,1,1,5,1,5,6,1,1,6,4,4,4,3,2,3,2,4,5,4,6,5,6,2
98,1,1,1,1,6,4,3,6,1,1,1,1,1,1,2,2,2,3,1,4,4,4,4,5,4
99,2,2,2,1,1,3,6,6,1,3,6,5,7,1,2,2,4,2,4,4,3,2,3,5,4
100,4,1,4,4,4,4,4,7,1,1,1,1,1,5,3,2,3,2,7,5,4,2,4,7,1
101,2,6,6,1,2,7,4,7,1,1,1,1,1,1,4,1,1,2,7,7,2,4,7,1,1
102,1,1,4,4,1,3,5,7,7,2,2,1,1,1,4,2,1,2,5,4,4,4,4,5,4
103,4,4,6,5,6,2,6,5,4,4,4,4,4,4,3,1,2,2,4,3,4,4,4,4,3
104,1,7,2,6,3,4,6,7,5,2,1,1,1,1,2,2,1,1,3,5,2,5,2,6,4
105,3,5,4,4,3,3,5,6,2,2,4,5,6,1,1,2,1,1,7,4,3,1,1,3,4
106,1,1,1,1,1,7,6,7,4,1,5,1,1,1,3,2,2,2,2,5,6,5,5,5,3
107,2,4,3,3,1,2,3,7,7,1,4,4,4,4,2,2,2,3,4,4,2,4,2,6,4
108,3,3,5,3,5,2,4,3,2,2,2,5,5,2,2,1,3,2,5,5,4,5,4,5,2
109,2,6,4,1,1,1,2,3,1,1,1,6,1,1,3,2,2,2,5,1,3,3,2,6,6
110,2,2,4,2,2,5,3,5,4,6,6,4,4,2,1,2,1,3,7,4,4,2,4,6,2
111,2,2,3,5,6,2,2,2,3,2,2,5,6,1,1,1,5,1,3,5,3,6,6,4,2
112,2,4,5,5,7,1,6,5,2,1,4,5,4,1,2,2,5,2,3,5,2,5,2,6,5
113,2,5,6,4,5,2,2,4,5,2,5,2,3,6,2,2,2,3,2,6,1,7,7,7,1
114,4,3,3,4,6,5,5,5,1,4,3,6,6,2,1,2,1,1,2,4,3,1,2,4,4
115,2,1,3,4,6,2,5,7,5,4,2,5,5,4,4,1,1,1,7,1,1,1,7,1,1
116,1,1,4,4,1,3,6,7,6,2,2,2,5,1,4,1,1,3,6,6,4,5,3,6,3
117,1,2,1,2,5,5,5,6,6,2,6,6,6,3,1,1,1,2,5,5,2,1,1,2,2
118,4,2,2,6,5,3,4,4,2,3,4,5,7,1,3,1,5,2,1,3,4,5,7,4,1
119,1,1,1,1,2,2,1,6,2,1,2,1,2,2,4,3,4,2,7,6,2,2,7,7,5
120,2,2,2,2,4,4,3,4,1,1,6,6,6,1,2,2,3,2,6,1,4,1,3,6,2
121,3,4,4,4,6,3,4,4,4,4,4,5,4,4,2,2,4,1,3,4,2,4,2,6,4
122,5,4,4,5,5,3,5,4,2,2,2,4,5,3,2,2,2,1,5,4,4,7,4,5,4
123,2,6,6,2,1,3,6,6,2,2,2,2,5,2,3,2,2,3,5,4,4,1,4,7,4
124,1,5,4,2,2,2,4,6,2,2,2,3,2,1,4,1,3,2,5,3,4,2,5,5,2
125,4,4,4,6,6,2,3,7,4,1,2,2,2,2,2,5,5,3,3,7,2,4,6,4,2
126,5,3,5,1,5,3,5,5,3,2,5,5,4,2,2,2,5,1,6,5,4,2,3,4,3
127,4,4,4,4,4,4,5,5,5,1,1,1,1,1,2,1,5,3,5,4,4,4,5,4,2
128,4,4,4,4,5,3,4,6,5,3,5,5,5,4,2,2,2,1,4,5,4,4,4,4,4
129,4,4,4,4,5,3,4,5,4,4,5,5,6,4,3,2,5,2,4,4,3,3,5,5,2
130,5,5,5,5,4,2,5,6,6,4,6,6,6,4,4,3,3,2,5,6,5,1,4,6,3
131,5,5,5,4,5,6,4,5,7,7,6,3,6,2,2,3,5,2,4,3,4,6,2,6,3
132,2,4,4,4,5,2,5,3,1,1,2,1,2,1,4,2,3,2,4,4,4,1,7,4,4
133,3,4,5,5,7,1,3,5,1,1,2,6,6,2,2,3,1,1,3,5,1,2,2,5,4
134,4,4,4,2,5,2,5,6,4,4,4,4,4,4,3,2,1,2,6,6,2,5,6,6,3
135,2,2,2,2,5,5,5,7,4,3,7,5,5,5,2,2,1,1,4,3,4,4,3,5,4
136,7,7,7,7,6,1,1,5,6,2,5,5,5,6,1,5,1,3,1,6,7,5,2,7,6
137,2,5,5,5,5,2,3,7,3,3,5,6,6,2,2,2,1,2,3,4,2,3,5,5,5
138,3,3,4,4,3,2,3,6,4,2,5,4,4,4,3,1,5,2,3,4,4,6,6,4,3
139,1,1,4,2,3,2,7,6,3,2,4,5,5,1,4,2,2,2,5,4,4,4,5,4,4
140,3,5,4,2,2,2,2,7,5,1,1,1,3,1,2,3,1,1,2,5,2,3,4,5,3
141,2,4,4,2,2,3,6,5,4,4,2,4,4,5,2,3,5,2,1,5,3,7,4,7,4
142,1,1,1,1,1,5,7,5,1,1,1,1,5,1,2,3,3,2,4,3,4,5,4,6,2
143,1,1,5,5,1,7,7,2,1,1,1,3,3,1,2,2,5,1,7,2,2,2,7,7,1
144,3,3,3,2,2,3,5,3,2,2,2,5,5,2,3,1,5,2,4,3,4,3,6,5,5
145,4,6,6,5,6,2,6,2,4,5,6,4,6,1,2,3,2,2,4,7,4,6,5,6,6
146,5,5,5,5,3,2,5,3,1,1,2,5,5,1,2,3,5,2,6,6,4,4,5,4,4
147,3,3,4,4,6,3,6,3,2,4,4,7,7,4,2,2,4,1,2,2,3,1,3,6,4
148,1,1,1,1,3,6,6,5,2,5,6,5,5,2,1,2,2,2,5,3,6,2,6,5,2
149,1,1,1,1,2,3,6,6,1,1,1,1,3,1,3,1,1,1,5,4,4,3,6,6,2
150,2,4,2,2,5,3,4,5,3,3,5,5,5,5,2,2,5,1,5,3,2,4,4,7,4
151,2,2,2,2,7,3,4,4,2,4,5,5,5,1,3,2,2,2,3,2,4,5,6,5,3
152,1,1,3,1,1,3,5,5,4,2,5,5,2,1,2,2,1,1,6,2,5,4,6,5,2
153,4,5,5,4,4,3,5,5,4,4,6,4,4,4,3,2,1,1,5,3,5,3,5,3,4
154,2,3,4,3,4,2,4,5,4,4,4,4,6,4,2,1,1,2,3,3,3,4,4,4,2
155,1,1,2,1,1,2,5,5,1,1,6,1,1,1,3,2,3,2,3,3,4,4,7,6,4
156,2,2,2,2,2,5,5,5,3,3,5,4,5,4,2,2,3,2,3,2,3,4,5,6,3
157,4,4,4,5,4,4,3,5,3,2,5,4,5,4,2,3,4,2,5,3,3,5,5,5,2
158,3,4,4,4,6,2,5,5,2,2,7,5,5,4,2,1,5,2,4,3,3,6,3,5,2
159,3,3,3,2,2,3,6,5,3,3,5,5,5,2,3,2,5,1,4,4,4,6,5,5,3
160,4,4,4,4,5,3,3,5,4,4,6,5,5,3,2,3,1,2,3,5,4,7,3,4,5
161,4,4,3,4,6,4,3,6,4,4,5,6,6,4,1,3,1,2,5,4,3,3,4,4,2
162,3,5,5,4,3,3,4,4,6,6,6,5,5,4,2,1,1,1,4,4,3,5,4,4,3
163,5,5,5,5,6,1,3,5,5,5,5,6,7,2,2,3,4,2,2,6,2,2,2,4,5
164,3,3,4,5,6,1,3,4,5,4,5,6,7,2,2,3,4,3,6,5,2,3,3,5,5
165,2,3,4,4,5,3,6,2,3,1,2,2,2,2,2,2,2,1,3,5,3,6,5,5,5
166,4,3,4,4,5,3,4,5,5,2,4,4,4,1,2,3,2,3,4,5,4,4,5,4,4
167,1,1,1,1,1,3,5,5,2,1,1,1,1,1,2,1,2,2,1,4,4,1,2,7,2
168,1,2,1,1,2,3,6,4,3,1,3,6,7,4,2,2,4,1,5,6,5,3,5,3,3
169,4,4,4,5,6,2,4,6,4,4,2,2,4,4,3,1,4,2,4,4,4,2,3,4,2
170,1,1,1,1,1,6,5,4,1,1,1,1,1,1,4,1,1,3,7,7,7,7,7,7,1
171,3,3,4,7,6,4,4,4,4,3,6,1,5,1,1,4,1,2,4,4,4,6,7,4,4
172,2,2,2,1,2,5,2,2,1,1,4,2,6,1,2,1,5,2,2,3,5,4,2,5,4
173,5,4,6,6,7,1,4,6,5,4,5,5,5,6,3,2,5,1,5,4,4,4,5,6,3
174,4,4,4,5,3,5,3,3,4,2,6,4,4,1,2,2,3,2,6,4,2,1,2,6,5
175,1,3,3,1,1,2,3,5,5,5,4,6,6,1,2,2,2,2,3,5,3,3,5,5,3
176,1,2,4,2,1,2,4,6,1,2,5,5,6,3,2,1,1,3,4,4,4,4,4,4,4
177,3,5,4,2,3,6,6,7,1,1,6,5,6,1,3,2,3,2,4,3,6,6,5,4,4
178,1,4,4,1,1,5,4,7,5,2,5,5,5,2,2,2,3,3,6,4,2,2,2,6,3
179,2,2,2,4,4,1,6,6,3,1,1,1,6,1,4,2,3,2,6,3,3,2,3,5,4
180,2,2,2,2,2,3,4,6,5,2,4,5,6,5,4,2,4,1,4,3,4,2,5,5,4
181,2,1,1,2,2,6,6,7,5,3,1,1,4,1,2,2,2,1,5,4,3,6,4,5,2
182,2,3,4,4,3,2,5,7,4,4,5,5,5,1,2,1,2,1,4,3,4,6,6,5,3
183,5,5,6,4,7,2,4,6,4,2,7,5,5,2,2,2,3,1,4,3,2,2,5,6,6
184,2,5,5,6,6,2,2,6,5,1,1,1,1,1,3,4,1,1,4,4,3,2,6,4,5
185,1,1,2,2,3,3,6,6,6,5,6,3,5,3,2,1,4,3,5,3,5,2,5,4,3
186,1,2,4,5,5,1,5,5,1,1,5,5,5,2,2,1,2,3,1,5,3,6,4,5,5
187,1,3,2,1,1,3,4,6,6,4,1,3,5,1,3,3,1,1,3,4,3,3,3,5,4
